image_name,strategy,direct_accuracy,neighbor_accuracy,ssim
image_70.jpg,random_fixed_3,0.4062,0.3839,0.7975
image_70.jpg,random_fixed_6,0.2656,0.3036,0.8130
image_70.jpg,random_fixed_9,0.5781,0.4464,0.8270
image_71.jpg,random,0.0781,0.1964,0.4920
image_71.jpg,center_fixed,0.0469,0.1429,0.4285
image_71.jpg,boundary_fixed,0.6094,0.4821,0.7397
image_71.jpg,random_fixed_3,0.1094,0.1429,0.4294
image_71.jpg,random_fixed_6,0.1562,0.1518,0.5110
image_71.jpg,random_fixed_9,0.3281,0.2411,0.6492
image_72.jpg,random,0.0000,0.2679,0.6017
image_72.jpg,center_fixed,0.2188,0.3571,0.6546
image_72.jpg,boundary_fixed,0.5938,0.4554,0.8348
image_72.jpg,random_fixed_3,0.2500,0.2768,0.6498
image_72.jpg,random_fixed_6,0.2500,0.1964,0.6920
image_72.jpg,random_fixed_9,0.4062,0.3839,0.7433
image_73.jpg,random,0.0000,0.2500,0.1546
image_73.jpg,center_fixed,0.0469,0.2232,0.3069
image_73.jpg,boundary_fixed,0.6250,0.5268,0.6718
image_73.jpg,random_fixed_3,0.4375,0.3304,0.5870
image_73.jpg,random_fixed_6,0.5469,0.4554,0.6918
image_73.jpg,random_fixed_9,0.5781,0.3929,0.7207
image_74.jpg,random,0.0156,0.2411,0.6323
image_74.jpg,center_fixed,0.0312,0.2946,0.6740
image_74.jpg,boundary_fixed,0.6094,0.5268,0.8227
image_74.jpg,random_fixed_3,0.4531,0.4196,0.8458
image_74.jpg,random_fixed_6,0.3750,0.3393,0.7790
image_74.jpg,random_fixed_9,0.3750,0.4107,0.7544
image_75.jpg,random,0.0156,0.2768,0.3408
image_75.jpg,center_fixed,0.2500,0.3393,0.5386
image_75.jpg,boundary_fixed,0.8125,0.6786,0.9003
image_75.jpg,random_fixed_3,0.2656,0.3125,0.5115
image_75.jpg,random_fixed_6,0.3125,0.2946,0.5366
image_75.jpg,random_fixed_9,0.3438,0.3393,0.5611
image_76.jpg,random,0.0469,0.2946,0.5147
image_76.jpg,center_fixed,0.1406,0.4107,0.6609
image_76.jpg,boundary_fixed,0.7656,0.6875,0.8921
image_76.jpg,random_fixed_3,0.0781,0.2768,0.5899
image_76.jpg,random_fixed_6,0.4375,0.4107,0.7965
image_76.jpg,random_fixed_9,0.3594,0.4286,0.7950
image_77.jpg,random,0.0312,0.2411,0.2431
image_77.jpg,center_fixed,0.0781,0.2054,0.3277
image_77.jpg,boundary_fixed,0.6562,0.5804,0.8157
image_77.jpg,random_fixed_3,0.3906,0.4375,0.5451
image_77.jpg,random_fixed_6,0.3125,0.2589,0.5154
